participant.label,participant.id_in_session,player.bet1,player.bet2,player.chosen_image_one_binary,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.choice1_accuracy,player.choice2_accuracy,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.trial_number,group.reversal_happened
67862f57b5350ebed10fac1f,24,2,2,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,45,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0
67862f57b5350ebed10fac1f,24,2,2,1,1,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0
67862f57b5350ebed10fac1f,24,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,1
67862f57b5350ebed10fac1f,24,1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.75,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.75,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0
67862f57b5350ebed10fac1f,24,1,1,2,2,0.25,0.75,0.25,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,54,0
67862f57b5350ebed10fac1f,24,1,1,2,2,0.5,0.5,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,55,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.75,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.25,0.75,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
67862f57b5350ebed10fac1f,24,1,1,2,2,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,1,0,1,58,0
67862f57b5350ebed10fac1f,24,1,1,2,1,0.25,0.75,0.75,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0
67862f57b5350ebed10fac1f,24,1,1,1,1,0.75,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
622bb4f79c52ad04bb91e752,25,2,2,2,2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.25,0.75,0.25,0.75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
622bb4f79c52ad04bb91e752,25,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0
622bb4f79c52ad04bb91e752,25,3,3,2,2,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
622bb4f79c52ad04bb91e752,25,2,2,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
622bb4f79c52ad04bb91e752,25,1,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0
622bb4f79c52ad04bb91e752,25,2,3,1,1,1,0,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0
622bb4f79c52ad04bb91e752,25,1,2,2,2,0.5,0.5,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
622bb4f79c52ad04bb91e752,25,2,1,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
622bb4f79c52ad04bb91e752,25,2,2,2,1,0.25,0.75,0.5,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,13,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,15,0
622bb4f79c52ad04bb91e752,25,1,1,2,1,0.5,0.5,0.25,0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1
622bb4f79c52ad04bb91e752,25,2,1,1,1,0.25,0.75,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
622bb4f79c52ad04bb91e752,25,1,1,2,2,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
622bb4f79c52ad04bb91e752,25,1,3,1,1,0.75,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
622bb4f79c52ad04bb91e752,25,1,1,1,2,0.5,0.5,0.75,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
622bb4f79c52ad04bb91e752,25,1,2,2,2,0.75,0.25,0.5,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0
622bb4f79c52ad04bb91e752,25,1,1,2,1,0.5,0.5,0.5,0.5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,22,0
622bb4f79c52ad04bb91e752,25,1,3,2,2,0.75,0.25,0.75,0.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,23,0
622bb4f79c52ad04bb91e752,25,2,3,2,2,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
622bb4f79c52ad04bb91e752,25,2,3,2,2,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0
622bb4f79c52ad04bb91e752,25,1,3,2,2,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0
622bb4f79c52ad04bb91e752,25,1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
622bb4f79c52ad04bb91e752,25,1,1,2,2,0.25,0.75,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0
622bb4f79c52ad04bb91e752,25,1,1,2,2,0.5,0.5,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0
622bb4f79c52ad04bb91e752,25,1,2,2,2,0.5,0.5,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0
622bb4f79c52ad04bb91e752,25,1,3,1,1,0.75,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
622bb4f79c52ad04bb91e752,25,3,3,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,32,0
622bb4f79c52ad04bb91e752,25,3,3,2,2,0.75,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
622bb4f79c52ad04bb91e752,25,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0
622bb4f79c52ad04bb91e752,25,3,3,1,1,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0
622bb4f79c52ad04bb91e752,25,1,3,2,2,1,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0
622bb4f79c52ad04bb91e752,25,1,3,2,1,0.25,0.75,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0
