participant.label,participant.id_in_session,group.trial_number,is_consecutive,choice_switch_across_trials,outcome_value,switch_difference,consensus_numeric,consensus_level,direction,trial_type
671ec2ffd89afa2ce6dea859,170,56,TRUE,1,0,1,1,3:1,With group,Switch
5ea01c7e792cdc00099748d6,171,56,TRUE,0,0,0,2,4:0,Against group,Stay
5d3983cb8580230018bbf15f,172,56,TRUE,0,100,0,1,3:1,With group,Stay
60b3daed9cafd5926a44f4d6,173,56,TRUE,1,100,1,0,2:2,Against group,Switch
60aa79fa99f7d53701b02256,175,56,TRUE,0,100,0,0,2:2,Against group,Stay
5f78863ec51814422de56470,176,56,TRUE,1,100,1,1,3:1,With group,Switch
5f32e77f34cb5e09af85ff3e,177,56,TRUE,0,100,0,2,4:0,With group,Stay
671cf3faf9e7ffc0d41db198,187,56,TRUE,0,100,0,1,3:1,With group,Stay
545d347afdf99b7f9fca22c7,191,56,TRUE,0,100,0,1,3:1,With group,Stay
5a81d2b6190420000155d995,197,56,TRUE,1,0,1,2,4:0,Against group,Switch
614ee866eb22f6b60f499a91,198,56,TRUE,0,100,0,2,4:0,With group,Stay
67a61fee0bd46caa06817695,201,56,TRUE,1,0,1,1,3:1,With group,Switch
66b8e2fd7ed9ec6e6bb94a9d,204,56,TRUE,0,100,0,2,4:0,With group,Stay
62b57d34b7bdc2d0835fab76,207,56,TRUE,0,100,0,2,4:0,With group,Stay
5ead8f2848b26f423b971747,208,56,TRUE,0,100,0,2,4:0,With group,Stay
671536a4dee5f7f5774fc909,220,56,TRUE,1,0,1,2,4:0,Against group,Switch
5fbf94f2891c55203896f7dc,222,56,TRUE,1,100,1,0,2:2,Against group,Switch
56f597c5736c79000b228052,223,56,TRUE,0,100,0,2,4:0,With group,Stay
5efb49177e130c0785b93842,225,56,TRUE,0,100,0,1,3:1,With group,Stay
5eeb6965645c11097b4bae82,229,56,TRUE,1,0,1,0,2:2,Against group,Switch
5d2b11ac3a260c001af2d338,230,56,TRUE,1,0,1,0,2:2,Against group,Switch
67693b69371357770f713607,231,56,TRUE,0,100,0,2,4:0,With group,Stay
602a2911a73ba046955f6c58,232,56,TRUE,0,100,0,1,3:1,With group,Stay
5f24a57c030da70af5ffd2bf,233,56,TRUE,0,100,0,1,3:1,Against group,Stay
5cfbf333ac28dd00196e807b,234,56,TRUE,0,100,0,0,2:2,Against group,Stay
60b235f65a20aec2984f4b80,235,56,TRUE,1,100,1,1,3:1,Against group,Switch
67605e6a382a3f0292c2c6c5,236,56,TRUE,0,100,0,2,4:0,With group,Stay
67606cca6591f7023be55e8e,237,56,TRUE,0,100,0,1,3:1,With group,Stay
6658b578aab263fcab6c8edb,238,56,TRUE,1,100,1,1,3:1,Against group,Switch
644150ada063f0646fa94580,240,56,TRUE,0,100,0,1,3:1,With group,Stay
5e8a62bdf3599409e0b61b1a,241,56,TRUE,0,100,0,2,4:0,With group,Stay
6054c99c850918fc1ee83760,242,56,TRUE,1,0,1,2,4:0,With group,Switch
5bbc3d95f1f9ba000141d855,246,56,TRUE,0,0,0,0,2:2,Against group,Stay
607081b0ecb2499634a349dd,257,56,TRUE,0,0,0,1,3:1,Against group,Stay
5ced66139b5b490001b688ed,265,56,TRUE,1,0,1,0,2:2,Against group,Switch
5774ed97d8e8880001b2ff6c,269,56,TRUE,1,100,1,1,3:1,Against group,Switch
6659fb60e288516b96e02bd8,283,56,TRUE,0,0,0,0,2:2,Against group,Stay
5df03fabc1ef790aa5595f8f,291,56,TRUE,0,100,0,0,2:2,Against group,Stay
595fa59caa841c00018d7225,293,56,TRUE,1,0,1,2,4:0,With group,Switch
664a0d8b5ef52adae600c9fa,299,56,TRUE,0,100,0,2,4:0,With group,Stay
5f0255082e1a9e3f9039b435,302,56,TRUE,0,100,0,2,4:0,With group,Stay
5cdd4befd3651c001950e539,306,56,TRUE,0,100,0,0,2:2,Against group,Stay
65e3434e8d58b05bcee42c3d,307,56,TRUE,1,0,1,1,3:1,Against group,Switch
5d532f8c8d4ab1001d1befe0,312,56,TRUE,1,100,1,2,4:0,With group,Switch
66d31a1b0515fe747830bab9,317,56,TRUE,0,100,0,0,2:2,Against group,Stay
6425ffdf7fd742839b924ac5,339,56,TRUE,0,100,0,2,4:0,With group,Stay
67419a995c7dd3559c354d09,344,56,TRUE,0,0,0,2,4:0,With group,Stay
65845f67f9ed8c08c8e58949,345,56,TRUE,0,100,0,2,4:0,With group,Stay
559bbbdafdf99b7ce19d5b3d,347,56,TRUE,1,0,1,2,4:0,With group,Switch
5f2fcda9700ba6032442db9c,377,56,TRUE,1,0,1,2,4:0,Against group,Switch
663791040de5898120ca93cd,380,56,TRUE,1,0,1,2,4:0,Against group,Switch
60b3950b9a1de417d37bb8d2,382,56,TRUE,0,0,0,1,3:1,With group,Stay
5e11bda11e2e5885070a0b22,384,56,TRUE,0,0,0,1,3:1,With group,Stay
677833b592e5cc616ab5f35f,386,56,TRUE,0,100,0,1,3:1,With group,Stay
65031d5ca9f619d9e0412f0a,390,56,TRUE,1,0,1,1,3:1,With group,Switch
6146f8473af59b2f858aa2f2,395,56,TRUE,0,0,0,1,3:1,With group,Stay
66636514bc4749ad83a2adc8,397,56,TRUE,0,0,0,1,3:1,With group,Stay
63174af7d57182f9bf90c094,402,56,TRUE,0,0,0,1,3:1,With group,Stay
6730f2e20f5915ff4ad2c07d,404,56,TRUE,1,0,1,1,3:1,With group,Switch
63d53d53a7a7b0379ba289cf,405,56,TRUE,0,0,0,2,4:0,With group,Stay
6266a4e5846e1e41812a0432,406,56,TRUE,0,100,0,0,2:2,Against group,Stay
676d70fb609bf3532889f9f8,407,56,TRUE,0,0,0,2,4:0,With group,Stay
5cf765f7b026f40001fe1bc6,408,56,TRUE,0,100,0,1,3:1,Against group,Stay
63d3f953f8fb0fe970f0d0c6,413,56,TRUE,0,100,0,2,4:0,Against group,Stay
58713c5e58ca4c00018ce3ea,415,56,TRUE,0,0,0,1,3:1,With group,Stay
5c5c8b70758f310001ed429a,416,56,TRUE,0,0,0,2,4:0,With group,Stay
671ce69ff883fe3c3ae81cdf,417,56,TRUE,0,0,0,0,2:2,Against group,Stay
677c2fc7d34ead450c40271e,420,56,TRUE,0,100,0,1,3:1,With group,Stay
6169ea2f9163a46bf5f356e2,423,56,TRUE,1,0,1,2,4:0,With group,Switch
66d890366a2497885067a8f8,425,56,TRUE,0,0,0,1,3:1,Against group,Stay
5797564b70c76a0001245734,443,56,TRUE,1,100,1,1,3:1,With group,Switch
5ea00a8a39c0f00008064b2b,444,56,TRUE,1,0,1,1,3:1,With group,Switch
676998e4f6daae6e1a643595,447,56,TRUE,0,100,0,1,3:1,With group,Stay
59b5a275c05bb50001eb3c4b,448,56,TRUE,0,100,0,2,4:0,Against group,Stay
5adb3e135f327e0001fb329c,456,56,TRUE,1,0,1,1,3:1,With group,Switch
667987ee48ef12debe279619,463,56,TRUE,1,100,1,2,4:0,Against group,Switch
581f6c63930a280001062e8c,464,56,TRUE,1,0,1,1,3:1,With group,Switch
66502c8dc29366cf9a8b372f,468,56,TRUE,0,100,0,1,3:1,With group,Stay
66bfd3867e3dd5e2c19650b9,1,57,TRUE,1,0,1,2,4:0,With group,Switch
647849063b9fd9be24803727,3,57,TRUE,1,0,1,1,3:1,With group,Switch
666d914c8a386185e18db071,4,57,TRUE,1,100,1,2,4:0,With group,Switch
673f6ffebce20832346325de,5,57,TRUE,1,100,1,2,4:0,With group,Switch
665d5a08c8e61c18498d08c9,6,57,TRUE,1,0,1,1,3:1,With group,Switch
6426cfe964863ee2ff26642f,7,57,TRUE,0,0,0,1,3:1,With group,Stay
5fbccd88199e4319f7a988d2,10,57,TRUE,0,100,0,1,3:1,With group,Stay
62f3b543dce069211e8e982c,11,57,TRUE,0,100,0,2,4:0,With group,Stay
6173c5b0aa4bc2370fd2c1f2,12,57,TRUE,0,100,0,1,3:1,With group,Stay
63c80a427dfa1305502df5a8,13,57,TRUE,0,0,0,1,3:1,With group,Stay
6765877a0722b290bb4ab344,14,57,TRUE,0,100,0,2,4:0,Against group,Stay
6534cceb3847273f3c9b8239,15,57,TRUE,0,100,0,2,4:0,With group,Stay
604541676af7216614098dde,16,57,TRUE,0,0,0,1,3:1,With group,Stay
660453c9877e571d12b555f7,43,57,TRUE,0,100,0,0,2:2,Against group,Stay
67769b94abdf21a12005eb4e,45,57,TRUE,1,100,1,0,2:2,Against group,Switch
6774c5b0b19b119861c73439,47,57,TRUE,0,0,0,0,2:2,Against group,Stay
60154af277ec314fd8fe1449,48,57,TRUE,0,100,0,2,4:0,With group,Stay
62b44f66a16d45783569fad6,49,57,TRUE,0,100,0,2,4:0,With group,Stay
6744d143eddffd17d345b192,50,57,TRUE,1,100,1,2,4:0,With group,Switch
664212577c09653c94741aab,51,57,TRUE,0,100,0,1,3:1,With group,Stay
6658c4239af9537eefdfbcc9,52,57,TRUE,0,100,0,1,3:1,Against group,Stay
6266b0409582f553a3e10d9a,53,57,TRUE,0,0,0,1,3:1,Against group,Stay
5eadaff848b26f4483ae62d9,56,57,TRUE,0,100,0,2,4:0,With group,Stay
67607c67fcf3f8b4093a8356,57,57,TRUE,1,0,1,1,3:1,With group,Switch
6760765e6a687b2878284f5e,58,57,TRUE,0,0,0,1,3:1,Against group,Stay
5bb7abf3c190e20001e5c2c8,59,57,TRUE,1,100,1,1,3:1,With group,Switch
666a1e606b80f9865c1f3d5f,60,57,TRUE,1,100,1,0,2:2,Against group,Switch
6753746b1f8827e2bd586bf0,61,57,TRUE,1,100,1,2,4:0,Against group,Switch
672a94165edd330fd1919b86,62,57,TRUE,1,0,1,2,4:0,With group,Switch
5c921106b788a2000170709f,63,57,TRUE,0,100,0,1,3:1,With group,Stay
5f450738ab827a05e739ef40,64,57,TRUE,1,100,1,0,2:2,Against group,Switch
66fd3f6c93c24ecc119be354,68,57,TRUE,1,0,1,1,3:1,With group,Switch
5f0db498f5e4e102c0f65b67,73,57,TRUE,1,100,1,1,3:1,With group,Switch
5e3ddcf95556b204cb143eab,78,57,TRUE,0,0,0,1,3:1,With group,Stay
5d41925ef7b99500012b960e,79,57,TRUE,1,0,1,1,3:1,With group,Switch
5d7a1fce27fb8a000196993e,99,57,TRUE,0,100,0,1,3:1,With group,Stay
5a7226d9f660ae0001a9a547,101,57,TRUE,0,100,0,1,3:1,With group,Stay
672f246d1d67d71960402ef8,102,57,TRUE,0,100,0,1,3:1,With group,Stay
5d66f49c531d6e0001e99e8a,103,57,TRUE,1,0,1,2,4:0,Against group,Switch
5fed47cfcb429d79af4f8ded,104,57,TRUE,1,100,1,1,3:1,With group,Switch
614e4f5af7eba1c013541155,106,57,TRUE,1,100,1,1,3:1,With group,Switch
62b626b7cc2365d4e7f5c5aa,107,57,TRUE,0,0,0,1,3:1,With group,Stay
670128e69d2576c4828a706e,108,57,TRUE,0,0,0,2,4:0,Against group,Stay
6729f7987218cfa68089875a,109,57,TRUE,1,100,1,2,4:0,With group,Switch
66bbafb05de7e549455aa4ff,110,57,TRUE,0,100,0,1,3:1,With group,Stay
675330fb23080b9ae3ec8239,111,57,TRUE,1,100,1,2,4:0,With group,Switch
667a9bdad0e1a943ee3d04bb,112,57,TRUE,0,100,0,1,3:1,With group,Stay
5eca536f9aa4f658d641a7d9,122,57,TRUE,0,0,0,1,3:1,With group,Stay
57b248d52075e2000113ba3d,125,57,TRUE,1,0,1,1,3:1,With group,Switch
596e1edd39e9d00001b7bb98,126,57,TRUE,1,0,1,1,3:1,With group,Switch
5b0b369230d5620001553596,127,57,TRUE,0,100,0,2,4:0,Against group,Stay
5af32f9d003f6c0001f2905b,131,57,TRUE,0,0,0,1,3:1,With group,Stay
679a0366c8793f4845badfd6,134,57,TRUE,0,0,0,1,3:1,With group,Stay
6658b198f863db3c5d605d13,136,57,TRUE,0,100,0,2,4:0,Against group,Stay
5ad0ba03fb109b0001a3148e,137,57,TRUE,1,0,1,1,3:1,With group,Switch
5bf7be3abd1fd30001aa5498,152,57,TRUE,1,0,1,2,4:0,Against group,Switch
629b3b3c89d490460eacbfbc,153,57,TRUE,1,0,1,1,3:1,With group,Switch
6773d73519c6135fee11ae3d,154,57,TRUE,1,100,1,2,4:0,Against group,Switch
670ffdb6896bad5ab5d6f894,155,57,TRUE,0,0,0,1,3:1,With group,Stay
60ac1213194b969a2accb5c4,156,57,TRUE,1,0,1,1,3:1,With group,Switch
66854ca22a0b1e7e87b469a4,157,57,TRUE,1,0,1,1,3:1,With group,Switch
59772a6c5cde890001dc01a0,158,57,TRUE,0,100,0,0,2:2,Against group,Stay
67772cab4247719f8cb639b2,159,57,TRUE,1,0,1,2,4:0,Against group,Switch
5623d483ed6e5a0005c803de,163,57,TRUE,1,0,1,1,3:1,With group,Switch
6659fbe836e30024b47db6cd,164,57,TRUE,1,0,1,1,3:1,With group,Switch
5d80167240f91c001acbb0a2,165,57,TRUE,1,0,1,1,3:1,With group,Switch
5a840fcfb093f80001a7cf78,166,57,TRUE,0,100,0,0,2:2,Against group,Stay
5f674b595c87a8334c381ae7,167,57,TRUE,0,0,0,1,3:1,With group,Stay
58404fd8ad98e40001ce915f,169,57,TRUE,0,100,0,1,3:1,With group,Stay
671ec2ffd89afa2ce6dea859,170,57,TRUE,0,100,0,0,2:2,Against group,Stay
5ea01c7e792cdc00099748d6,171,57,TRUE,1,100,1,1,3:1,With group,Switch
5d3983cb8580230018bbf15f,172,57,TRUE,0,100,0,1,3:1,With group,Stay
60b3daed9cafd5926a44f4d6,173,57,TRUE,1,0,1,1,3:1,With group,Switch
60aa79fa99f7d53701b02256,175,57,TRUE,1,0,1,1,3:1,With group,Switch
5f78863ec51814422de56470,176,57,TRUE,1,0,1,1,3:1,With group,Switch
5f32e77f34cb5e09af85ff3e,177,57,TRUE,1,0,1,1,3:1,With group,Switch
614ee866eb22f6b60f499a91,198,57,TRUE,0,100,0,1,3:1,With group,Stay
66b8e2fd7ed9ec6e6bb94a9d,204,57,TRUE,0,100,0,2,4:0,Against group,Stay
62b57d34b7bdc2d0835fab76,207,57,TRUE,1,0,1,1,3:1,With group,Switch
5ead8f2848b26f423b971747,208,57,TRUE,1,0,1,1,3:1,With group,Switch
671536a4dee5f7f5774fc909,220,57,TRUE,0,0,0,2,4:0,With group,Stay
5fbf94f2891c55203896f7dc,222,57,TRUE,0,100,0,0,2:2,Against group,Stay
56f597c5736c79000b228052,223,57,TRUE,0,100,0,0,2:2,Against group,Stay
5efb49177e130c0785b93842,225,57,TRUE,1,0,1,2,4:0,With group,Switch
5eeb6965645c11097b4bae82,229,57,TRUE,0,0,0,0,2:2,Against group,Stay
5d2b11ac3a260c001af2d338,230,57,TRUE,0,0,0,1,3:1,Against group,Stay
67693b69371357770f713607,231,57,TRUE,1,0,1,0,2:2,Against group,Switch
602a2911a73ba046955f6c58,232,57,TRUE,0,100,0,2,4:0,With group,Stay
5f24a57c030da70af5ffd2bf,233,57,TRUE,0,100,0,1,3:1,Against group,Stay
5cfbf333ac28dd00196e807b,234,57,TRUE,1,0,1,1,3:1,Against group,Switch
60b235f65a20aec2984f4b80,235,57,TRUE,1,100,1,0,2:2,Against group,Switch
67605e6a382a3f0292c2c6c5,236,57,TRUE,1,0,1,1,3:1,Against group,Switch
67606cca6591f7023be55e8e,237,57,TRUE,0,100,0,2,4:0,With group,Stay
6658b578aab263fcab6c8edb,238,57,TRUE,0,0,0,0,2:2,Against group,Stay
644150ada063f0646fa94580,240,57,TRUE,0,100,0,2,4:0,With group,Stay
5e8a62bdf3599409e0b61b1a,241,57,TRUE,0,100,0,0,2:2,Against group,Stay
6054c99c850918fc1ee83760,242,57,TRUE,1,0,1,1,3:1,Against group,Switch
5bbc3d95f1f9ba000141d855,246,57,TRUE,1,0,1,1,3:1,Against group,Switch
607081b0ecb2499634a349dd,257,57,TRUE,0,0,0,0,2:2,Against group,Stay
5ced66139b5b490001b688ed,265,57,TRUE,1,0,1,0,2:2,Against group,Switch
5774ed97d8e8880001b2ff6c,269,57,TRUE,1,100,1,1,3:1,Against group,Switch
6659fb60e288516b96e02bd8,283,57,TRUE,0,100,0,1,3:1,Against group,Stay
595fa59caa841c00018d7225,293,57,TRUE,0,100,0,2,4:0,Against group,Stay
664a0d8b5ef52adae600c9fa,299,57,TRUE,1,0,1,1,3:1,With group,Switch
5f0255082e1a9e3f9039b435,302,57,TRUE,1,0,1,1,3:1,With group,Switch
5d532f8c8d4ab1001d1befe0,312,57,TRUE,1,0,1,1,3:1,With group,Switch
645e967fad9bc8bdc1a16ac0,326,57,TRUE,0,100,0,2,4:0,Against group,Stay
62b344e3e39755aabc5bed02,329,57,TRUE,1,0,1,1,3:1,With group,Switch
